,Country,Right,Start Date,End Date,Derogation Level,Confirmed Cases
11,Arizona,Cancel public events,2020-03-15,2020-04-29,1.0,7197.0
12,Arizona,Cancel public events,2020-04-30,2020-08-10,2.0,179868.0
13,Arizona,Cancel public events,2020-08-11,2020-12-06,1.0,175539.0
14,Arizona,Cancel public events,2020-12-07,2021-03-08,2.0,461394.0
15,Arizona,Cancel public events,2021-03-09,2021-04-06,1.0,17680.0
17,Arizona,Close public transport,2020-03-31,2020-05-15,1.0,11880.0
18,Arizona,Close public transport,2020-08-03,2020-09-30,1.0,39010.0
19,Arizona,Close public transport,2020-11-01,2020-11-08,1.0,11791.0
37,Arizona,Contact tracing,2020-01-21,2020-05-15,1.0,13169.0
38,Arizona,Contact tracing,2020-05-16,2021-04-06,2.0,831814.0
31,Arizona,Debt/contract relief,2020-03-24,2021-04-06,1.0,845154.0
39,Arizona,Emergency investment in healthcare,2020-03-12,2020-03-12,55000000.0,0.0
40,Arizona,Facial Coverings,2020-04-04,2020-06-18,1.0,41426.0
41,Arizona,Facial Coverings,2020-06-19,2021-01-10,3.0,571636.0
42,Arizona,Facial Coverings,2021-01-20,2021-03-24,3.0,147305.0
43,Arizona,Facial Coverings,2021-03-25,2021-04-06,2.0,7493.0
27,Arizona,Income support,2020-01-27,2020-01-27,1.0,0.0
28,Arizona,Income support,2020-03-20,2020-10-31,2.0,245878.0
29,Arizona,Income support,2020-11-09,2021-01-04,2.0,301843.0
30,Arizona,Income support,2021-01-05,2021-04-06,1.0,278006.0
25,Arizona,International travel controls,2020-02-02,2020-03-01,2.0,0.0
26,Arizona,International travel controls,2020-03-02,2021-04-06,3.0,845479.0
48,Arizona,Protection of elderly people,2020-03-11,2020-11-09,1.0,259690.0
49,Arizona,Protection of elderly people,2020-11-10,2021-03-08,2.0,564104.0
50,Arizona,Protection of elderly people,2021-03-10,2021-04-06,2.0,16850.0
32,Arizona,Public information campaigns,2020-01-26,2020-03-01,1.0,0.0
33,Arizona,Public information campaigns,2020-03-02,2021-04-06,2.0,845479.0
16,Arizona,Restrictions on gatherings,2020-08-03,2021-04-06,3.0,665983.0
22,Arizona,Restrictions on internal movement,2020-03-16,2020-04-08,1.0,2708.0
23,Arizona,Restrictions on internal movement,2020-04-09,2020-05-15,2.0,10151.0
24,Arizona,Restrictions on internal movement,2020-05-16,2021-04-06,1.0,831814.0
0,Arizona,School closing,2020-03-13,2020-03-15,1.0,3.0
1,Arizona,School closing,2020-03-16,2020-08-19,3.0,195539.0
2,Arizona,School closing,2020-08-20,2021-03-14,2.0,636463.0
3,Arizona,School closing,2021-03-15,2021-04-06,1.0,12099.0
20,Arizona,Stay at home requirements,2020-03-31,2020-05-15,2.0,11880.0
21,Arizona,Stay at home requirements,2020-05-16,2021-04-01,1.0,828526.0
34,Arizona,Testing policy,2020-01-21,2020-04-08,1.0,2726.0
35,Arizona,Testing policy,2020-04-09,2020-07-10,2.0,113874.0
36,Arizona,Testing policy,2020-07-11,2021-04-06,3.0,725550.0
44,Arizona,Vaccination policy,2021-01-05,2021-02-25,2.0,245433.0
45,Arizona,Vaccination policy,2021-02-26,2021-02-28,3.0,2254.0
46,Arizona,Vaccination policy,2021-03-01,2021-03-25,2.0,20166.0
47,Arizona,Vaccination policy,2021-03-26,2021-04-05,4.0,6352.0
4,Arizona,Workplace closing,2020-03-12,2020-03-16,1.0,9.0
5,Arizona,Workplace closing,2020-03-17,2020-05-15,2.0,13149.0
6,Arizona,Workplace closing,2020-05-16,2020-06-28,1.0,60254.0
7,Arizona,Workplace closing,2020-06-29,2020-12-06,2.0,289731.0
8,Arizona,Workplace closing,2020-12-07,2021-01-04,1.0,195699.0
9,Arizona,Workplace closing,2021-01-05,2021-03-04,2.0,253634.0
10,Arizona,Workplace closing,2021-03-05,2021-04-06,1.0,22096.0
