,Country,Right,Start Date,End Date,Derogation Level,Confirmed Cases
10,Colorado,Cancel public events,2020-03-12,2020-03-18,1.0,167.0
11,Colorado,Cancel public events,2020-03-19,2020-06-17,2.0,29393.0
12,Colorado,Cancel public events,2020-06-18,2021-01-16,1.0,343582.0
13,Colorado,Cancel public events,2021-01-17,2021-02-01,2.0,22120.0
14,Colorado,Cancel public events,2021-02-02,2021-04-05,1.0,70951.0
17,Colorado,Close public transport,2020-03-16,2021-04-05,1.0,468827.0
36,Colorado,Contact tracing,2020-01-21,2020-07-22,1.0,41698.0
37,Colorado,Contact tracing,2020-07-23,2021-01-09,2.0,316634.0
38,Colorado,Contact tracing,2021-01-10,2021-04-05,1.0,107840.0
30,Colorado,Debt/contract relief,2020-03-20,2021-04-05,2.0,468624.0
39,Colorado,Facial Coverings,2020-04-03,2020-05-13,1.0,16302.0
40,Colorado,Facial Coverings,2020-05-14,2020-10-10,2.0,56804.0
41,Colorado,Facial Coverings,2020-10-11,2021-01-10,3.0,282687.0
42,Colorado,Facial Coverings,2021-01-20,2021-03-26,3.0,77075.0
43,Colorado,Facial Coverings,2021-03-27,2021-04-05,4.0,11391.0
27,Colorado,Income support,2020-01-27,2020-01-27,1.0,0.0
28,Colorado,Income support,2020-03-10,2020-07-30,2.0,46187.0
29,Colorado,Income support,2020-07-31,2021-04-05,1.0,422179.0
25,Colorado,International travel controls,2020-02-02,2020-03-01,2.0,0.0
26,Colorado,International travel controls,2020-03-02,2021-04-05,3.0,468988.0
47,Colorado,Protection of elderly people,2020-03-12,2020-09-02,3.0,57970.0
48,Colorado,Protection of elderly people,2020-09-03,2021-03-08,2.0,378900.0
49,Colorado,Protection of elderly people,2021-03-10,2021-04-05,2.0,29723.0
31,Colorado,Public information campaigns,2020-02-27,2020-03-15,1.0,136.0
32,Colorado,Public information campaigns,2020-03-16,2021-04-05,2.0,468827.0
15,Colorado,Restrictions on gatherings,2020-03-12,2020-03-19,3.0,229.0
16,Colorado,Restrictions on gatherings,2020-03-20,2021-04-05,4.0,468624.0
22,Colorado,Restrictions on internal movement,2020-03-16,2020-04-26,1.0,13280.0
23,Colorado,Restrictions on internal movement,2020-04-27,2020-05-08,2.0,4948.0
24,Colorado,Restrictions on internal movement,2020-05-09,2021-04-05,1.0,449613.0
0,Colorado,School closing,2020-03-13,2020-03-15,1.0,58.0
1,Colorado,School closing,2020-03-16,2020-03-29,2.0,2147.0
2,Colorado,School closing,2020-03-30,2020-05-31,3.0,23751.0
3,Colorado,School closing,2020-06-01,2021-04-05,2.0,442411.0
18,Colorado,Stay at home requirements,2020-03-24,2020-05-08,2.0,17915.0
19,Colorado,Stay at home requirements,2020-05-09,2021-01-16,1.0,354108.0
20,Colorado,Stay at home requirements,2021-01-17,2021-02-01,2.0,22120.0
21,Colorado,Stay at home requirements,2021-02-02,2021-04-05,1.0,70951.0
33,Colorado,Testing policy,2020-01-21,2020-05-17,1.0,21938.0
34,Colorado,Testing policy,2020-05-18,2021-03-26,2.0,434100.0
35,Colorado,Testing policy,2021-03-27,2021-04-05,3.0,11391.0
44,Colorado,Vaccination policy,2020-12-14,2020-12-29,1.0,37304.0
45,Colorado,Vaccination policy,2020-12-30,2021-03-26,2.0,125443.0
46,Colorado,Vaccination policy,2021-03-27,2021-04-05,4.0,11391.0
4,Colorado,Workplace closing,2020-03-12,2020-03-14,1.0,54.0
5,Colorado,Workplace closing,2020-03-15,2020-03-23,2.0,587.0
6,Colorado,Workplace closing,2020-03-24,2020-04-26,3.0,12529.0
7,Colorado,Workplace closing,2020-04-27,2021-01-16,2.0,359604.0
8,Colorado,Workplace closing,2021-01-17,2021-02-01,3.0,22120.0
9,Colorado,Workplace closing,2021-02-02,2021-04-05,2.0,70951.0
