,Country,Right,Start Date,End Date,Derogation Level,Confirmed Cases
8,Hawaii,Cancel public events,2020-03-13,2020-07-16,1.0,1309.0
9,Hawaii,Cancel public events,2020-07-17,2021-04-04,2.0,30003.0
13,Hawaii,Close public transport,2020-07-17,2021-03-15,1.0,27925.0
39,Hawaii,Contact tracing,2020-01-21,2020-04-14,1.0,511.0
40,Hawaii,Contact tracing,2020-04-15,2021-02-01,2.0,26168.0
41,Hawaii,Contact tracing,2021-02-02,2021-03-09,1.0,2093.0
42,Hawaii,Contact tracing,2021-03-10,2021-04-04,2.0,2506.0
26,Hawaii,Debt/contract relief,2020-03-27,2020-08-23,1.0,6494.0
27,Hawaii,Debt/contract relief,2020-08-24,2021-04-04,2.0,24568.0
43,Hawaii,Facial Coverings,2020-04-02,2020-04-15,1.0,268.0
44,Hawaii,Facial Coverings,2020-04-16,2020-07-01,2.0,396.0
45,Hawaii,Facial Coverings,2020-07-02,2021-01-10,3.0,23099.0
46,Hawaii,Facial Coverings,2021-01-20,2021-04-06,3.0,6211.0
28,Hawaii,Fiscal measures,2020-05-18,2020-05-18,25000000.0,0.0
29,Hawaii,Fiscal measures,2020-09-23,2020-09-23,370000000.0,0.0
30,Hawaii,Fiscal measures,2020-10-13,2020-10-13,10000000.0,0.0
31,Hawaii,Fiscal measures,2020-10-22,2020-10-22,25000000.0,0.0
23,Hawaii,Income support,2020-01-27,2020-01-27,1.0,0.0
24,Hawaii,Income support,2020-03-27,2020-07-30,2.0,1883.0
25,Hawaii,Income support,2020-07-31,2021-04-04,1.0,29226.0
20,Hawaii,International travel controls,2020-02-02,2020-03-01,2.0,0.0
21,Hawaii,International travel controls,2020-03-02,2020-11-28,3.0,18082.0
22,Hawaii,International travel controls,2020-11-30,2021-04-04,3.0,13114.0
50,Hawaii,Protection of elderly people,2020-03-13,2020-03-24,1.0,88.0
51,Hawaii,Protection of elderly people,2020-03-25,2021-03-08,2.0,28693.0
52,Hawaii,Protection of elderly people,2021-03-10,2021-04-04,2.0,2506.0
32,Hawaii,Public information campaigns,2020-01-29,2020-02-20,1.0,0.0
33,Hawaii,Public information campaigns,2020-02-21,2021-04-04,2.0,31337.0
10,Hawaii,Restrictions on gatherings,2020-03-25,2021-03-22,4.0,29824.0
11,Hawaii,Restrictions on gatherings,2021-03-23,2021-03-23,3.0,0.0
12,Hawaii,Restrictions on gatherings,2021-03-24,2021-04-04,4.0,1363.0
18,Hawaii,Restrictions on internal movement,2020-03-16,2020-03-25,1.0,83.0
19,Hawaii,Restrictions on internal movement,2020-03-26,2021-04-04,2.0,31242.0
0,Hawaii,School closing,2020-03-13,2020-03-22,1.0,51.0
1,Hawaii,School closing,2020-03-23,2020-03-29,2.0,93.0
2,Hawaii,School closing,2020-03-30,2020-08-23,3.0,6425.0
3,Hawaii,School closing,2020-08-24,2021-04-06,2.0,24720.0
14,Hawaii,Stay at home requirements,2020-03-20,2020-03-24,1.0,54.0
15,Hawaii,Stay at home requirements,2020-03-25,2020-11-11,2.0,16346.0
16,Hawaii,Stay at home requirements,2020-11-12,2020-12-03,1.0,1950.0
17,Hawaii,Stay at home requirements,2020-12-04,2021-04-04,2.0,12732.0
34,Hawaii,Testing policy,2020-01-21,2020-05-28,1.0,647.0
35,Hawaii,Testing policy,2020-05-29,2020-08-31,2.0,7823.0
36,Hawaii,Testing policy,2020-09-01,2020-09-14,3.0,2260.0
37,Hawaii,Testing policy,2020-09-15,2020-10-18,2.0,3247.0
38,Hawaii,Testing policy,2020-10-19,2021-04-04,3.0,17075.0
47,Hawaii,Vaccination policy,2020-12-15,2020-12-20,1.0,921.0
48,Hawaii,Vaccination policy,2020-12-21,2021-03-14,2.0,8338.0
49,Hawaii,Vaccination policy,2021-03-15,2021-04-04,3.0,2078.0
4,Hawaii,Workplace closing,2020-03-12,2020-03-19,1.0,23.0
5,Hawaii,Workplace closing,2020-03-20,2020-03-24,2.0,54.0
6,Hawaii,Workplace closing,2020-03-25,2020-05-04,3.0,530.0
7,Hawaii,Workplace closing,2020-05-05,2021-04-04,2.0,30712.0
