,Country,Right,Start Date,End Date,Derogation Level,Confirmed Cases
7,Kansas,Cancel public events,2020-03-15,2020-03-29,1.0,322.0
8,Kansas,Cancel public events,2020-03-30,2020-06-07,2.0,10034.0
9,Kansas,Cancel public events,2020-06-08,2020-11-15,1.0,106886.0
10,Kansas,Cancel public events,2020-11-16,2021-04-06,2.0,180208.0
18,Kansas,Close public transport,2020-03-19,2021-04-06,1.0,304758.0
36,Kansas,Contact tracing,2020-01-21,2021-04-06,1.0,304793.0
28,Kansas,Debt/contract relief,2020-03-17,2020-07-24,1.0,24535.0
29,Kansas,Debt/contract relief,2020-08-17,2021-03-15,1.0,265835.0
30,Kansas,Debt/contract relief,2021-03-16,2021-04-06,2.0,4352.0
37,Kansas,Facial Coverings,2020-04-04,2020-07-02,1.0,14304.0
38,Kansas,Facial Coverings,2020-07-03,2021-01-10,3.0,228924.0
39,Kansas,Facial Coverings,2021-01-20,2021-04-03,3.0,38907.0
40,Kansas,Facial Coverings,2021-04-04,2021-04-06,2.0,364.0
24,Kansas,Income support,2020-01-27,2020-01-27,1.0,0.0
25,Kansas,Income support,2020-03-27,2020-07-30,2.0,26675.0
26,Kansas,Income support,2020-07-31,2020-09-10,1.0,20395.0
27,Kansas,Income support,2020-10-02,2021-04-06,1.0,242256.0
22,Kansas,International travel controls,2020-02-02,2020-03-01,2.0,0.0
23,Kansas,International travel controls,2020-03-02,2021-04-06,3.0,304793.0
44,Kansas,Protection of elderly people,2020-03-13,2020-03-15,1.0,2.0
45,Kansas,Protection of elderly people,2020-03-16,2020-06-11,3.0,10812.0
46,Kansas,Protection of elderly people,2020-06-12,2021-03-08,2.0,287815.0
47,Kansas,Protection of elderly people,2021-03-10,2021-04-06,2.0,5257.0
31,Kansas,Public information campaigns,2020-03-04,2020-03-15,1.0,8.0
32,Kansas,Public information campaigns,2020-03-16,2021-04-06,2.0,304782.0
11,Kansas,Restrictions on gatherings,2020-03-16,2020-03-16,3.0,0.0
12,Kansas,Restrictions on gatherings,2020-03-17,2020-05-21,4.0,8607.0
13,Kansas,Restrictions on gatherings,2020-05-22,2020-11-19,3.0,122123.0
14,Kansas,Restrictions on gatherings,2020-11-20,2021-02-18,4.0,154361.0
15,Kansas,Restrictions on gatherings,2021-02-19,2021-03-27,3.0,9773.0
16,Kansas,Restrictions on gatherings,2021-03-28,2021-04-03,2.0,1441.0
17,Kansas,Restrictions on gatherings,2021-04-04,2021-04-06,3.0,364.0
21,Kansas,Restrictions on internal movement,2020-03-16,2021-04-06,1.0,304782.0
0,Kansas,School closing,2020-03-13,2020-03-16,1.0,5.0
1,Kansas,School closing,2020-03-17,2020-08-23,3.0,37623.0
2,Kansas,School closing,2020-08-24,2021-04-05,2.0,266261.0
19,Kansas,Stay at home requirements,2020-03-30,2020-05-03,2.0,4784.0
20,Kansas,Stay at home requirements,2020-05-04,2021-04-01,1.0,298579.0
33,Kansas,Testing policy,2020-01-21,2020-04-28,1.0,3652.0
34,Kansas,Testing policy,2020-04-29,2020-07-21,2.0,19090.0
35,Kansas,Testing policy,2020-07-22,2021-04-06,3.0,281313.0
41,Kansas,Vaccination policy,2020-12-14,2020-12-26,1.0,20003.0
42,Kansas,Vaccination policy,2020-12-27,2021-03-28,2.0,90239.0
43,Kansas,Vaccination policy,2021-03-29,2021-04-06,5.0,1375.0
3,Kansas,Workplace closing,2020-03-12,2020-03-23,1.0,80.0
4,Kansas,Workplace closing,2020-03-24,2020-05-03,3.0,5056.0
5,Kansas,Workplace closing,2020-05-04,2020-06-07,2.0,5023.0
6,Kansas,Workplace closing,2020-06-08,2021-04-06,1.0,294249.0
