,Country,Right,Start Date,End Date,Derogation Level,Confirmed Cases
10,Kentucky,Cancel public events,2020-03-11,2020-03-11,1.0,0.0
11,Kentucky,Cancel public events,2020-03-12,2020-06-28,2.0,15222.0
12,Kentucky,Cancel public events,2020-06-29,2021-04-06,1.0,414494.0
16,Kentucky,Close public transport,2020-03-20,2020-04-02,1.0,706.0
17,Kentucky,Close public transport,2020-04-03,2021-04-06,2.0,429071.0
44,Kentucky,Contact tracing,2020-01-21,2020-05-17,1.0,7688.0
45,Kentucky,Contact tracing,2020-05-18,2021-04-05,2.0,421576.0
30,Kentucky,Debt/contract relief,2020-03-06,2020-03-15,1.0,17.0
31,Kentucky,Debt/contract relief,2020-03-16,2020-10-18,2.0,87586.0
32,Kentucky,Debt/contract relief,2020-10-19,2021-04-05,1.0,341264.0
46,Kentucky,Emergency investment in healthcare,2020-11-05,2020-11-05,1600000000.0,0.0
47,Kentucky,Emergency investment in healthcare,2021-01-19,2021-01-19,1000000000.0,0.0
48,Kentucky,Facial Coverings,2020-04-04,2020-07-09,1.0,17328.0
49,Kentucky,Facial Coverings,2020-07-10,2021-01-10,3.0,284952.0
50,Kentucky,Facial Coverings,2021-01-20,2021-04-05,3.0,95191.0
33,Kentucky,Fiscal measures,2020-10-19,2020-10-19,15000000.0,0.0
34,Kentucky,Fiscal measures,2020-11-12,2020-11-12,1400000.0,0.0
35,Kentucky,Fiscal measures,2020-11-18,2020-11-18,40000000.0,0.0
36,Kentucky,Fiscal measures,2020-12-01,2020-12-01,50000000.0,0.0
37,Kentucky,Fiscal measures,2021-01-25,2021-01-25,38000000.0,0.0
38,Kentucky,Fiscal measures,2021-02-11,2021-02-11,264000000.0,0.0
25,Kentucky,Income support,2020-01-27,2020-01-27,1.0,0.0
26,Kentucky,Income support,2020-03-23,2020-03-26,1.0,124.0
27,Kentucky,Income support,2020-03-27,2020-07-30,2.0,29085.0
28,Kentucky,Income support,2020-07-31,2020-09-21,1.0,31766.0
29,Kentucky,Income support,2020-12-27,2021-03-31,1.0,169814.0
23,Kentucky,International travel controls,2020-02-02,2020-03-01,2.0,0.0
24,Kentucky,International travel controls,2020-03-02,2021-04-06,3.0,429841.0
55,Kentucky,Protection of elderly people,2020-03-10,2020-07-14,3.0,20218.0
56,Kentucky,Protection of elderly people,2020-07-15,2021-02-22,2.0,376849.0
39,Kentucky,Public information campaigns,2020-01-09,2020-03-06,1.0,1.0
40,Kentucky,Public information campaigns,2020-03-07,2021-04-05,2.0,429510.0
13,Kentucky,Restrictions on gatherings,2020-03-19,2020-06-28,4.0,15182.0
14,Kentucky,Restrictions on gatherings,2020-06-29,2020-07-20,3.0,8067.0
15,Kentucky,Restrictions on gatherings,2020-07-21,2021-04-04,4.0,405046.0
20,Kentucky,Restrictions on internal movement,2020-03-11,2020-03-29,1.0,430.0
21,Kentucky,Restrictions on internal movement,2020-03-30,2020-05-05,2.0,5343.0
22,Kentucky,Restrictions on internal movement,2020-05-06,2021-04-06,1.0,423907.0
0,Kentucky,School closing,2020-03-13,2020-03-19,1.0,36.0
1,Kentucky,School closing,2020-03-20,2020-08-16,3.0,38866.0
2,Kentucky,School closing,2020-08-17,2021-04-04,2.0,389415.0
18,Kentucky,Stay at home requirements,2020-03-26,2020-05-21,2.0,8039.0
19,Kentucky,Stay at home requirements,2020-05-22,2021-04-06,1.0,421415.0
41,Kentucky,Testing policy,2020-01-21,2020-04-15,1.0,2210.0
42,Kentucky,Testing policy,2020-04-16,2020-04-25,2.0,1480.0
43,Kentucky,Testing policy,2020-04-26,2021-04-06,3.0,425756.0
51,Kentucky,Vaccination policy,2020-12-14,2020-12-21,1.0,19407.0
52,Kentucky,Vaccination policy,2020-12-22,2021-03-24,2.0,175351.0
53,Kentucky,Vaccination policy,2021-03-25,2021-04-04,3.0,5692.0
54,Kentucky,Vaccination policy,2021-04-05,2021-04-05,5.0,0.0
3,Kentucky,Workplace closing,2020-03-11,2020-03-13,1.0,6.0
4,Kentucky,Workplace closing,2020-03-14,2020-03-22,2.0,87.0
5,Kentucky,Workplace closing,2020-03-23,2020-05-10,3.0,6317.0
6,Kentucky,Workplace closing,2020-05-11,2020-06-28,2.0,8555.0
7,Kentucky,Workplace closing,2020-06-29,2020-07-27,1.0,12239.0
8,Kentucky,Workplace closing,2020-07-28,2020-08-10,2.0,7143.0
9,Kentucky,Workplace closing,2020-08-11,2021-04-05,1.0,393718.0
