,Country,Right,Start Date,End Date,Derogation Level,Confirmed Cases
11,Michigan,Cancel public events,2020-03-11,2020-03-15,1.0,43.0
12,Michigan,Cancel public events,2020-03-16,2020-06-04,2.0,63903.0
13,Michigan,Cancel public events,2020-06-05,2020-08-02,1.0,26937.0
14,Michigan,Cancel public events,2020-08-03,2020-09-24,2.0,39963.0
15,Michigan,Cancel public events,2020-09-25,2020-11-17,1.0,163463.0
16,Michigan,Cancel public events,2020-11-18,2020-12-20,2.0,192998.0
17,Michigan,Cancel public events,2020-12-21,2021-04-06,1.0,285008.0
23,Michigan,Close public transport,2020-03-17,2021-04-06,1.0,786033.0
46,Michigan,Contact tracing,2020-01-21,2020-11-01,1.0,197406.0
47,Michigan,Contact tracing,2020-11-02,2021-04-06,2.0,581797.0
38,Michigan,Debt/contract relief,2020-03-20,2021-04-06,1.0,785652.0
48,Michigan,Emergency investment in healthcare,2020-03-30,2020-03-30,160000000.0,0.0
49,Michigan,Emergency investment in healthcare,2021-03-09,2021-03-09,555000000.0,0.0
51,Michigan,Facial Coverings,2020-03-10,2020-07-16,1.0,79839.0
52,Michigan,Facial Coverings,2020-07-17,2021-01-10,3.0,481960.0
53,Michigan,Facial Coverings,2021-01-20,2021-04-06,3.0,196254.0
39,Michigan,Fiscal measures,2021-03-01,2021-03-01,2500000.0,0.0
40,Michigan,Fiscal measures,2021-03-09,2021-03-09,238000000.0,0.0
34,Michigan,Income support,2020-01-27,2020-01-27,1.0,0.0
35,Michigan,Income support,2020-03-16,2020-03-26,1.0,2956.0
36,Michigan,Income support,2020-03-27,2020-07-30,2.0,85933.0
37,Michigan,Income support,2020-07-31,2021-04-06,1.0,695549.0
30,Michigan,International travel controls,2020-01-28,2020-02-01,1.0,0.0
31,Michigan,International travel controls,2020-02-02,2020-03-01,2.0,0.0
32,Michigan,International travel controls,2020-03-02,2021-01-30,3.0,610138.0
33,Michigan,International travel controls,2021-02-01,2021-04-06,3.0,173413.0
50,Michigan,Investment in vaccines,2021-03-09,2021-03-09,110000000.0,0.0
56,Michigan,Protection of elderly people,2020-03-13,2020-03-13,1.0,0.0
57,Michigan,Protection of elderly people,2020-03-14,2020-04-15,2.0,29108.0
58,Michigan,Protection of elderly people,2020-04-16,2021-03-08,3.0,628389.0
59,Michigan,Protection of elderly people,2021-03-10,2021-04-06,3.0,123551.0
41,Michigan,Public information campaigns,2020-01-24,2020-03-11,1.0,2.0
42,Michigan,Public information campaigns,2020-03-12,2021-04-06,2.0,786120.0
18,Michigan,Restrictions on gatherings,2020-01-01,2020-09-24,1.0,132337.0
19,Michigan,Restrictions on gatherings,2020-09-25,2020-11-01,3.0,64029.0
20,Michigan,Restrictions on gatherings,2020-11-02,2020-12-20,4.0,291730.0
21,Michigan,Restrictions on gatherings,2020-12-21,2021-01-21,3.0,91267.0
22,Michigan,Restrictions on gatherings,2021-01-22,2021-04-06,4.0,191203.0
27,Michigan,Restrictions on internal movement,2020-03-16,2020-03-23,1.0,1378.0
28,Michigan,Restrictions on internal movement,2020-03-24,2020-05-31,2.0,60769.0
29,Michigan,Restrictions on internal movement,2020-06-01,2021-04-06,1.0,723195.0
0,Michigan,School closing,2020-03-13,2020-03-15,1.0,21.0
1,Michigan,School closing,2020-03-16,2020-08-30,3.0,112450.0
2,Michigan,School closing,2020-08-31,2021-04-06,2.0,673098.0
24,Michigan,Stay at home requirements,2020-03-11,2020-03-23,1.0,1452.0
25,Michigan,Stay at home requirements,2020-03-24,2020-05-20,2.0,55380.0
26,Michigan,Stay at home requirements,2020-05-21,2021-04-01,1.0,695461.0
43,Michigan,Testing policy,2020-01-21,2020-04-13,1.0,26622.0
44,Michigan,Testing policy,2020-04-14,2020-05-25,2.0,31579.0
45,Michigan,Testing policy,2020-05-26,2021-04-06,3.0,726149.0
54,Michigan,Vaccination policy,2020-12-14,2021-03-08,2.0,185575.0
55,Michigan,Vaccination policy,2021-03-09,2021-04-06,3.0,126233.0
3,Michigan,Workplace closing,2020-03-12,2020-03-15,1.0,42.0
4,Michigan,Workplace closing,2020-03-16,2020-03-23,2.0,1378.0
5,Michigan,Workplace closing,2020-03-24,2020-04-23,3.0,34903.0
6,Michigan,Workplace closing,2020-04-24,2020-06-04,2.0,25649.0
7,Michigan,Workplace closing,2020-06-05,2020-06-30,1.0,5907.0
8,Michigan,Workplace closing,2020-07-01,2020-09-24,2.0,61248.0
9,Michigan,Workplace closing,2020-09-25,2020-11-17,1.0,163463.0
10,Michigan,Workplace closing,2020-11-18,2021-04-06,2.0,483065.0
