,Country,Right,Start Date,End Date,Derogation Level,Confirmed Cases
10,New York,Cancel public events,2020-03-12,2020-07-19,2.0,409728.0
11,New York,Cancel public events,2020-07-20,2020-08-26,1.0,22897.0
12,New York,Cancel public events,2020-08-27,2021-02-20,2.0,1151042.0
13,New York,Cancel public events,2021-02-21,2021-04-05,1.0,320724.0
20,New York,Close public transport,2020-03-09,2021-04-05,1.0,1912258.0
41,New York,Contact tracing,2020-01-21,2020-04-21,1.0,262032.0
42,New York,Contact tracing,2020-04-22,2020-12-11,2.0,496937.0
43,New York,Contact tracing,2020-12-12,2021-01-04,1.0,260911.0
44,New York,Contact tracing,2021-01-05,2021-04-05,2.0,864115.0
31,New York,Debt/contract relief,2020-03-13,2020-03-18,1.0,2128.0
32,New York,Debt/contract relief,2020-03-19,2021-04-05,2.0,1908175.0
45,New York,Emergency investment in healthcare,2020-03-03,2020-03-03,40000000.0,0.0
46,New York,Facial Coverings,2020-04-01,2020-04-16,1.0,140129.0
47,New York,Facial Coverings,2020-04-17,2021-01-10,3.0,898100.0
48,New York,Facial Coverings,2021-01-20,2021-04-05,3.0,632585.0
33,New York,Fiscal measures,2020-04-27,2020-04-27,25000000.0,0.0
34,New York,Fiscal measures,2020-09-30,2020-09-30,18000000.0,0.0
35,New York,Fiscal measures,2020-10-30,2020-10-30,10000000.0,0.0
29,New York,Income support,2020-01-27,2020-01-27,1.0,0.0
30,New York,Income support,2020-03-17,2021-04-05,2.0,1910989.0
26,New York,International travel controls,2020-01-17,2020-02-01,1.0,0.0
27,New York,International travel controls,2020-02-02,2020-03-01,2.0,0.0
28,New York,International travel controls,2020-03-02,2021-04-05,3.0,1912396.0
52,New York,Protection of elderly people,2020-03-11,2020-03-12,1.0,80.0
53,New York,Protection of elderly people,2020-03-13,2020-07-09,3.0,401700.0
54,New York,Protection of elderly people,2020-07-10,2020-10-24,2.0,94733.0
55,New York,Protection of elderly people,2020-10-25,2021-01-27,3.0,869420.0
56,New York,Protection of elderly people,2021-01-28,2021-03-08,2.0,317236.0
57,New York,Protection of elderly people,2021-03-10,2021-04-05,2.0,199366.0
36,New York,Public information campaigns,2020-01-31,2020-02-29,1.0,0.0
37,New York,Public information campaigns,2020-03-01,2021-04-05,2.0,1912396.0
14,New York,Restrictions on gatherings,2020-03-13,2020-03-17,2.0,1028.0
15,New York,Restrictions on gatherings,2020-03-18,2020-03-22,3.0,12684.0
16,New York,Restrictions on gatherings,2020-03-23,2020-07-05,4.0,378892.0
17,New York,Restrictions on gatherings,2020-07-06,2020-10-07,3.0,70909.0
18,New York,Restrictions on gatherings,2020-10-08,2021-03-16,4.0,1281908.0
19,New York,Restrictions on gatherings,2021-03-23,2021-04-05,3.0,123522.0
24,New York,Restrictions on internal movement,2020-03-16,2020-06-24,1.0,390923.0
25,New York,Restrictions on internal movement,2020-06-25,2021-04-05,2.0,1519698.0
0,New York,School closing,2020-03-12,2020-03-22,2.0,14895.0
1,New York,School closing,2020-03-23,2020-08-30,3.0,415585.0
2,New York,School closing,2020-08-31,2021-04-05,2.0,1475242.0
21,New York,Stay at home requirements,2020-03-09,2020-03-21,1.0,10272.0
22,New York,Stay at home requirements,2020-03-22,2020-06-07,2.0,365732.0
23,New York,Stay at home requirements,2020-06-08,2021-04-05,1.0,1530737.0
38,New York,Testing policy,2020-01-21,2020-04-24,1.0,278456.0
39,New York,Testing policy,2020-04-25,2020-05-16,2.0,63081.0
40,New York,Testing policy,2020-05-17,2021-04-05,3.0,1559394.0
49,New York,Vaccination policy,2020-12-14,2021-02-14,2.0,744917.0
50,New York,Vaccination policy,2021-02-15,2021-03-29,3.0,313066.0
51,New York,Vaccination policy,2021-03-30,2021-04-05,4.0,47047.0
3,New York,Workplace closing,2020-03-09,2020-03-11,1.0,78.0
4,New York,Workplace closing,2020-03-12,2020-03-21,2.0,10114.0
5,New York,Workplace closing,2020-03-22,2020-06-07,3.0,365732.0
6,New York,Workplace closing,2020-06-08,2020-10-07,2.0,89548.0
7,New York,Workplace closing,2020-10-08,2021-01-04,3.0,561854.0
8,New York,Workplace closing,2021-01-05,2021-03-04,2.0,622435.0
9,New York,Workplace closing,2021-03-05,2021-04-05,1.0,233529.0
