,Country,Right,Start Date,End Date,Derogation Level,Confirmed Cases
12,Pennsylvania,Cancel public events,2020-03-13,2020-03-22,1.0,468.0
13,Pennsylvania,Cancel public events,2020-03-23,2020-10-08,2.0,172250.0
14,Pennsylvania,Cancel public events,2020-10-09,2021-04-06,1.0,878121.0
21,Pennsylvania,Close public transport,2020-03-23,2020-04-08,1.0,15933.0
22,Pennsylvania,Close public transport,2020-04-09,2020-05-16,2.0,46885.0
23,Pennsylvania,Close public transport,2020-05-17,2020-09-07,1.0,78840.0
56,Pennsylvania,Contact tracing,2020-01-21,2020-09-21,1.0,155693.0
57,Pennsylvania,Contact tracing,2020-09-22,2021-04-06,2.0,895973.0
36,Pennsylvania,Debt/contract relief,2020-03-13,2020-04-14,2.0,25424.0
37,Pennsylvania,Debt/contract relief,2020-04-15,2020-05-06,1.0,28047.0
38,Pennsylvania,Debt/contract relief,2020-05-07,2020-08-31,2.0,82839.0
39,Pennsylvania,Debt/contract relief,2020-09-01,2021-04-06,1.0,912902.0
58,Pennsylvania,Emergency investment in healthcare,2020-03-27,2020-03-27,50000000.0,0.0
59,Pennsylvania,Emergency investment in healthcare,2020-04-10,2020-04-10,450000000.0,0.0
62,Pennsylvania,Facial Coverings,2020-04-03,2020-04-14,1.0,16895.0
63,Pennsylvania,Facial Coverings,2020-04-15,2020-06-30,2.0,64386.0
64,Pennsylvania,Facial Coverings,2020-07-01,2020-11-17,4.0,189182.0
65,Pennsylvania,Facial Coverings,2020-11-18,2021-01-10,3.0,436440.0
66,Pennsylvania,Facial Coverings,2021-01-20,2021-04-06,3.0,264866.0
40,Pennsylvania,Fiscal measures,2020-03-25,2020-03-25,60000000.0,0.0
41,Pennsylvania,Fiscal measures,2020-05-20,2020-05-20,51000000.0,0.0
42,Pennsylvania,Fiscal measures,2020-05-29,2020-05-29,4220000.0,0.0
43,Pennsylvania,Fiscal measures,2020-06-04,2020-06-04,50000000.0,0.0
44,Pennsylvania,Fiscal measures,2020-06-08,2020-06-08,225000000.0,0.0
45,Pennsylvania,Fiscal measures,2020-06-16,2020-06-16,40000000.0,0.0
46,Pennsylvania,Fiscal measures,2020-06-26,2020-06-26,20000000.0,0.0
47,Pennsylvania,Fiscal measures,2020-07-06,2020-07-06,53000000.0,0.0
48,Pennsylvania,Fiscal measures,2020-07-09,2020-07-09,10000000.0,0.0
49,Pennsylvania,Fiscal measures,2020-09-15,2020-09-15,21800000.0,0.0
50,Pennsylvania,Fiscal measures,2021-03-02,2021-03-02,448000000.0,0.0
32,Pennsylvania,Income support,2020-01-27,2020-01-27,1.0,0.0
33,Pennsylvania,Income support,2020-03-27,2020-07-30,2.0,113462.0
34,Pennsylvania,Income support,2020-07-31,2020-09-10,1.0,29909.0
35,Pennsylvania,Income support,2020-09-14,2021-04-06,1.0,902450.0
30,Pennsylvania,International travel controls,2020-02-02,2020-03-01,2.0,0.0
31,Pennsylvania,International travel controls,2020-03-02,2021-04-06,3.0,1052450.0
60,Pennsylvania,Investment in vaccines,2020-07-16,2020-07-16,10000000.0,0.0
61,Pennsylvania,Investment in vaccines,2020-08-27,2020-08-27,10000000.0,0.0
69,Pennsylvania,Protection of elderly people,2020-03-13,2020-04-02,1.0,7227.0
70,Pennsylvania,Protection of elderly people,2020-04-03,2021-03-08,3.0,944248.0
71,Pennsylvania,Protection of elderly people,2021-03-10,2021-03-11,3.0,2743.0
72,Pennsylvania,Protection of elderly people,2021-03-12,2021-04-06,1.0,88303.0
51,Pennsylvania,Public information campaigns,2020-02-03,2020-02-25,1.0,0.0
52,Pennsylvania,Public information campaigns,2020-02-26,2021-04-06,2.0,1052450.0
15,Pennsylvania,Restrictions on gatherings,2020-03-23,2020-06-04,4.0,77637.0
16,Pennsylvania,Restrictions on gatherings,2020-06-05,2020-07-02,3.0,13797.0
17,Pennsylvania,Restrictions on gatherings,2020-07-03,2020-07-15,2.0,8877.0
18,Pennsylvania,Restrictions on gatherings,2020-07-16,2020-10-08,3.0,69873.0
19,Pennsylvania,Restrictions on gatherings,2020-10-09,2021-01-03,4.0,490584.0
20,Pennsylvania,Restrictions on gatherings,2021-01-04,2021-02-28,2.0,263222.0
27,Pennsylvania,Restrictions on internal movement,2020-03-13,2020-11-19,1.0,294253.0
28,Pennsylvania,Restrictions on internal movement,2020-11-20,2021-02-28,2.0,631957.0
29,Pennsylvania,Restrictions on internal movement,2021-03-01,2021-04-06,1.0,116628.0
0,Pennsylvania,School closing,2020-03-13,2020-03-15,2.0,6.0
1,Pennsylvania,School closing,2020-03-16,2020-08-16,3.0,128991.0
2,Pennsylvania,School closing,2020-08-17,2021-04-06,2.0,922803.0
24,Pennsylvania,Stay at home requirements,2020-03-13,2020-03-22,1.0,468.0
25,Pennsylvania,Stay at home requirements,2020-03-23,2020-06-04,2.0,77637.0
26,Pennsylvania,Stay at home requirements,2020-06-05,2021-04-06,1.0,973635.0
53,Pennsylvania,Testing policy,2020-01-21,2020-06-02,1.0,77225.0
