,Country,Right,Start Date,End Date,Derogation Level,Confirmed Cases
14,Texas,Cancel public events,2020-03-11,2020-05-29,2.0,61233.0
15,Texas,Cancel public events,2020-05-30,2020-06-02,1.0,4524.0
16,Texas,Cancel public events,2020-06-03,2021-01-25,2.0,2200302.0
17,Texas,Cancel public events,2021-01-26,2021-04-05,1.0,516287.0
43,Texas,Contact tracing,2020-01-21,2021-04-05,1.0,2806908.0
37,Texas,Debt/contract relief,2020-03-19,2021-04-05,1.0,2806602.0
44,Texas,Facial Coverings,2020-04-04,2020-04-12,1.0,7184.0
45,Texas,Facial Coverings,2020-04-13,2020-04-26,3.0,10723.0
46,Texas,Facial Coverings,2020-04-27,2020-06-21,1.0,87547.0
47,Texas,Facial Coverings,2020-06-22,2020-07-02,2.0,61947.0
48,Texas,Facial Coverings,2020-07-03,2021-01-10,3.0,1780662.0
49,Texas,Facial Coverings,2021-01-20,2021-04-05,3.0,621354.0
33,Texas,Income support,2020-01-27,2020-01-27,1.0,0.0
34,Texas,Income support,2020-03-27,2020-07-30,2.0,427642.0
35,Texas,Income support,2020-07-31,2020-09-10,1.0,232330.0
36,Texas,Income support,2020-12-27,2021-04-05,1.0,1107714.0
30,Texas,International travel controls,2020-01-28,2020-02-01,1.0,0.0
31,Texas,International travel controls,2020-02-02,2020-03-01,2.0,0.0
32,Texas,International travel controls,2020-03-02,2021-04-05,3.0,2806908.0
54,Texas,Protection of elderly people,2020-03-13,2020-03-20,1.0,385.0
55,Texas,Protection of elderly people,2020-03-21,2020-08-05,3.0,480122.0
56,Texas,Protection of elderly people,2020-08-06,2021-03-08,2.0,2211042.0
57,Texas,Protection of elderly people,2021-03-10,2021-04-05,2.0,96630.0
38,Texas,Public information campaigns,2020-03-16,2021-04-05,2.0,2806823.0
18,Texas,Restrictions on gatherings,2020-03-13,2020-03-16,2.0,41.0
19,Texas,Restrictions on gatherings,2020-03-17,2020-05-29,4.0,61143.0
20,Texas,Restrictions on gatherings,2020-06-23,2020-07-01,3.0,49419.0
21,Texas,Restrictions on gatherings,2020-07-02,2021-04-05,4.0,2626739.0
27,Texas,Restrictions on internal movement,2020-03-16,2020-03-27,1.0,1852.0
28,Texas,Restrictions on internal movement,2020-03-28,2020-05-20,2.0,49530.0
29,Texas,Restrictions on internal movement,2020-05-21,2021-04-05,1.0,2753629.0
0,Texas,School closing,2020-03-13,2020-03-15,1.0,20.0
1,Texas,School closing,2020-03-16,2020-03-19,2.0,221.0
2,Texas,School closing,2020-03-20,2020-08-25,3.0,609105.0
3,Texas,School closing,2020-08-26,2020-10-13,2.0,218989.0
4,Texas,School closing,2020-10-14,2020-11-07,1.0,190624.0
5,Texas,School closing,2020-11-08,2021-04-05,2.0,1767859.0
22,Texas,Stay at home requirements,2020-03-20,2020-03-22,1.0,214.0
23,Texas,Stay at home requirements,2020-03-23,2020-05-08,2.0,36766.0
24,Texas,Stay at home requirements,2020-05-09,2020-10-28,1.0,882905.0
25,Texas,Stay at home requirements,2020-10-29,2020-11-12,2.0,154631.0
26,Texas,Stay at home requirements,2020-11-13,2021-04-05,1.0,1710439.0
39,Texas,Testing policy,2020-01-21,2020-04-21,1.0,20785.0
40,Texas,Testing policy,2020-04-22,2021-01-18,2.0,2116613.0
41,Texas,Testing policy,2021-01-19,2021-03-01,1.0,503332.0
42,Texas,Testing policy,2021-03-02,2021-04-05,3.0,138817.0
50,Texas,Vaccination policy,2020-12-14,2020-12-27,1.0,205708.0
51,Texas,Vaccination policy,2020-12-28,2021-01-11,2.0,282386.0
52,Texas,Vaccination policy,2021-01-12,2021-03-28,3.0,768090.0
53,Texas,Vaccination policy,2021-03-29,2021-04-05,4.0,20689.0
6,Texas,Workplace closing,2020-03-12,2020-03-15,1.0,37.0
7,Texas,Workplace closing,2020-03-16,2020-04-01,2.0,4224.0
8,Texas,Workplace closing,2020-04-02,2020-04-23,3.0,17813.0
9,Texas,Workplace closing,2020-04-24,2020-06-02,2.0,43797.0
10,Texas,Workplace closing,2020-06-03,2020-06-21,1.0,43990.0
11,Texas,Workplace closing,2020-06-22,2020-10-28,2.0,803666.0
12,Texas,Workplace closing,2020-10-29,2020-11-12,3.0,154631.0
13,Texas,Workplace closing,2020-11-13,2021-04-05,2.0,1710439.0
