,Country,Right,Start Date,End Date,Derogation Level,Confirmed Cases
9,Utah,Cancel public events,2020-03-15,2020-03-15,1.0,0.0
10,Utah,Cancel public events,2020-03-16,2020-04-16,2.0,2655.0
11,Utah,Cancel public events,2020-04-17,2020-05-26,1.0,5827.0
12,Utah,Cancel public events,2020-05-27,2020-09-03,2.0,44620.0
13,Utah,Cancel public events,2020-09-04,2021-04-02,1.0,332711.0
33,Utah,Contact tracing,2020-01-21,2020-05-03,1.0,5175.0
34,Utah,Contact tracing,2020-05-04,2020-10-15,2.0,85144.0
35,Utah,Contact tracing,2020-10-16,2021-04-02,1.0,294593.0
27,Utah,Debt/contract relief,2020-03-27,2020-07-24,1.0,36490.0
28,Utah,Debt/contract relief,2020-09-01,2021-04-02,1.0,334147.0
36,Utah,Facial Coverings,2020-04-04,2020-06-23,1.0,16872.0
37,Utah,Facial Coverings,2020-06-24,2020-06-26,2.0,1266.0
38,Utah,Facial Coverings,2020-06-27,2020-11-11,3.0,119092.0
39,Utah,Facial Coverings,2020-11-12,2020-11-22,4.0,33537.0
40,Utah,Facial Coverings,2020-11-23,2021-01-10,2.0,126579.0
41,Utah,Facial Coverings,2021-01-20,2021-04-02,2.0,58170.0
23,Utah,Income support,2020-01-27,2020-01-27,1.0,0.0
24,Utah,Income support,2020-03-27,2020-07-30,2.0,39224.0
25,Utah,Income support,2020-07-31,2020-09-10,1.0,15823.0
26,Utah,Income support,2020-12-27,2021-04-02,1.0,121676.0
21,Utah,International travel controls,2020-02-02,2020-03-01,2.0,0.0
22,Utah,International travel controls,2020-03-02,2021-04-02,3.0,386550.0
46,Utah,Protection of elderly people,2020-03-13,2020-11-22,1.0,177167.0
47,Utah,Protection of elderly people,2020-11-23,2021-03-08,2.0,195690.0
48,Utah,Protection of elderly people,2021-03-10,2021-04-02,2.0,10223.0
29,Utah,Public information campaigns,2020-02-24,2020-03-04,1.0,0.0
30,Utah,Public information campaigns,2020-03-05,2021-04-02,2.0,386550.0
14,Utah,Restrictions on gatherings,2020-03-16,2020-03-18,2.0,19.0
15,Utah,Restrictions on gatherings,2020-03-19,2020-04-30,4.0,4610.0
16,Utah,Restrictions on gatherings,2020-05-01,2020-10-14,3.0,84135.0
17,Utah,Restrictions on gatherings,2020-10-15,2021-01-04,4.0,195172.0
18,Utah,Restrictions on gatherings,2021-03-29,2021-04-02,3.0,1794.0
20,Utah,Restrictions on internal movement,2020-03-16,2021-04-02,1.0,386522.0
0,Utah,School closing,2020-03-12,2020-03-15,2.0,15.0
1,Utah,School closing,2020-03-16,2020-08-16,3.0,46624.0
2,Utah,School closing,2020-08-17,2021-02-07,2.0,307714.0
3,Utah,School closing,2021-02-08,2021-04-02,1.0,31428.0
19,Utah,Stay at home requirements,2020-03-27,2021-04-01,1.0,385656.0
31,Utah,Testing policy,2020-01-21,2020-03-22,1.0,162.0
32,Utah,Testing policy,2020-03-23,2021-04-02,2.0,386293.0
42,Utah,Vaccination policy,2020-12-16,2020-12-29,1.0,28611.0
43,Utah,Vaccination policy,2020-12-30,2021-02-24,2.0,96661.0
44,Utah,Vaccination policy,2021-02-25,2021-03-23,3.0,12738.0
45,Utah,Vaccination policy,2021-03-24,2021-04-02,5.0,3817.0
4,Utah,Workplace closing,2020-03-12,2020-03-29,1.0,717.0
5,Utah,Workplace closing,2020-03-30,2020-04-30,2.0,3874.0
6,Utah,Workplace closing,2020-05-01,2020-07-19,1.0,29289.0
7,Utah,Workplace closing,2020-07-20,2020-09-03,2.0,18800.0
8,Utah,Workplace closing,2020-09-04,2021-04-02,1.0,332711.0
