,Country,Right,Start Date,End Date,Derogation Level,Confirmed Cases
11,Vermont,Cancel public events,2020-03-13,2021-04-04,2.0,20147.0
33,Vermont,Contact tracing,2020-01-21,2020-04-28,1.0,862.0
34,Vermont,Contact tracing,2020-04-29,2021-04-04,2.0,19287.0
24,Vermont,Debt/contract relief,2020-03-18,2020-05-13,1.0,916.0
25,Vermont,Debt/contract relief,2020-05-14,2020-10-14,2.0,957.0
26,Vermont,Debt/contract relief,2020-10-15,2020-12-21,1.0,4631.0
27,Vermont,Debt/contract relief,2020-12-22,2021-04-04,2.0,13541.0
35,Vermont,Facial Coverings,2020-04-04,2020-04-30,1.0,405.0
36,Vermont,Facial Coverings,2020-05-01,2020-07-31,2.0,535.0
37,Vermont,Facial Coverings,2020-08-01,2021-01-10,3.0,7546.0
38,Vermont,Facial Coverings,2021-01-20,2021-04-04,3.0,9678.0
22,Vermont,Income support,2020-01-27,2020-01-27,1.0,0.0
23,Vermont,Income support,2020-03-27,2021-04-04,2.0,19965.0
20,Vermont,International travel controls,2020-02-02,2020-03-01,2.0,0.0
21,Vermont,International travel controls,2020-03-02,2021-04-04,3.0,20149.0
42,Vermont,Protection of elderly people,2020-03-13,2020-03-13,1.0,0.0
43,Vermont,Protection of elderly people,2020-03-14,2020-06-18,3.0,1130.0
44,Vermont,Protection of elderly people,2020-06-19,2020-10-11,2.0,724.0
45,Vermont,Protection of elderly people,2020-10-12,2021-02-25,3.0,12964.0
46,Vermont,Protection of elderly people,2021-02-26,2021-03-08,2.0,1236.0
47,Vermont,Protection of elderly people,2021-03-10,2021-04-04,2.0,3778.0
28,Vermont,Public information campaigns,2020-01-28,2020-03-15,1.0,5.0
29,Vermont,Public information campaigns,2020-03-16,2021-04-04,2.0,20137.0
12,Vermont,Restrictions on gatherings,2020-03-13,2020-03-15,2.0,3.0
13,Vermont,Restrictions on gatherings,2020-03-16,2020-03-23,3.0,63.0
14,Vermont,Restrictions on gatherings,2020-03-24,2020-05-31,4.0,886.0
15,Vermont,Restrictions on gatherings,2020-06-01,2020-11-13,3.0,1760.0
16,Vermont,Restrictions on gatherings,2020-11-14,2021-04-04,4.0,17306.0
19,Vermont,Restrictions on internal movement,2020-03-13,2021-04-04,2.0,20147.0
0,Vermont,School closing,2020-03-13,2020-03-15,1.0,3.0
1,Vermont,School closing,2020-03-16,2020-03-17,2.0,0.0
2,Vermont,School closing,2020-03-18,2020-08-13,3.0,1471.0
3,Vermont,School closing,2020-08-14,2021-04-05,2.0,18766.0
17,Vermont,Stay at home requirements,2020-03-24,2020-05-05,2.0,812.0
18,Vermont,Stay at home requirements,2020-05-06,2021-04-04,1.0,19241.0
30,Vermont,Testing policy,2020-01-21,2020-05-10,1.0,927.0
31,Vermont,Testing policy,2020-05-11,2020-05-12,2.0,1.0
32,Vermont,Testing policy,2020-05-13,2021-04-04,3.0,19220.0
39,Vermont,Vaccination policy,2020-12-15,2021-03-07,2.0,10160.0
40,Vermont,Vaccination policy,2021-03-08,2021-03-24,3.0,1829.0
41,Vermont,Vaccination policy,2021-03-25,2021-04-04,4.0,1934.0
4,Vermont,Workplace closing,2020-03-12,2020-03-16,1.0,10.0
5,Vermont,Workplace closing,2020-03-17,2020-03-22,2.0,40.0
6,Vermont,Workplace closing,2020-03-23,2020-04-19,3.0,738.0
7,Vermont,Workplace closing,2020-04-20,2020-06-14,2.0,311.0
8,Vermont,Workplace closing,2020-06-15,2020-11-13,1.0,1615.0
9,Vermont,Workplace closing,2020-11-14,2021-03-23,2.0,15090.0
10,Vermont,Workplace closing,2021-03-24,2021-04-04,1.0,2121.0
