,Country,Right,Start Date,End Date,Derogation Level,Confirmed Cases
7,Virginia,Cancel public events,2020-03-12,2020-03-23,1.0,242.0
8,Virginia,Cancel public events,2020-03-24,2020-06-30,2.0,62494.0
9,Virginia,Cancel public events,2020-07-01,2020-12-13,1.0,218706.0
10,Virginia,Cancel public events,2020-12-14,2021-02-16,2.0,268159.0
11,Virginia,Cancel public events,2021-02-17,2021-04-06,1.0,72013.0
40,Virginia,Contact tracing,2020-01-21,2020-08-04,1.0,94251.0
41,Virginia,Contact tracing,2020-08-05,2021-02-08,2.0,435776.0
42,Virginia,Contact tracing,2021-02-09,2021-04-06,1.0,93489.0
31,Virginia,Debt/contract relief,2020-03-16,2020-04-21,1.0,9581.0
32,Virginia,Debt/contract relief,2020-04-22,2020-06-28,2.0,51470.0
33,Virginia,Debt/contract relief,2020-06-29,2021-04-06,1.0,565416.0
43,Virginia,Facial Coverings,2020-03-12,2020-05-28,1.0,41389.0
44,Virginia,Facial Coverings,2020-05-29,2020-11-15,2.0,159427.0
45,Virginia,Facial Coverings,2020-11-16,2021-01-10,3.0,194219.0
46,Virginia,Facial Coverings,2021-01-20,2021-02-08,3.0,75234.0
47,Virginia,Facial Coverings,2021-02-09,2021-04-06,2.0,93489.0
26,Virginia,Income support,2020-01-27,2020-01-27,1.0,0.0
27,Virginia,Income support,2020-03-17,2020-03-26,1.0,399.0
28,Virginia,Income support,2020-03-27,2020-07-30,2.0,88297.0
29,Virginia,Income support,2020-07-31,2020-11-20,1.0,123443.0
30,Virginia,Income support,2020-12-27,2021-04-06,1.0,294029.0
24,Virginia,International travel controls,2020-02-02,2020-03-01,2.0,0.0
25,Virginia,International travel controls,2020-03-02,2021-04-06,3.0,627605.0
50,Virginia,Protection of elderly people,2020-03-13,2020-12-06,1.0,255026.0
51,Virginia,Protection of elderly people,2020-12-07,2021-03-08,2.0,327722.0
52,Virginia,Protection of elderly people,2021-03-10,2021-04-06,2.0,38230.0
34,Virginia,Public information campaigns,2020-03-07,2020-03-15,1.0,37.0
35,Virginia,Public information campaigns,2020-03-16,2021-04-06,2.0,627556.0
12,Virginia,Restrictions on gatherings,2020-03-24,2020-06-11,4.0,52354.0
13,Virginia,Restrictions on gatherings,2020-06-12,2020-06-30,3.0,9576.0
14,Virginia,Restrictions on gatherings,2020-07-01,2020-07-30,2.0,25701.0
15,Virginia,Restrictions on gatherings,2020-07-31,2020-12-13,3.0,192021.0
16,Virginia,Restrictions on gatherings,2020-12-14,2021-03-31,4.0,333827.0
17,Virginia,Restrictions on gatherings,2021-04-01,2021-04-06,3.0,6804.0
22,Virginia,Restrictions on internal movement,2020-03-12,2020-08-12,2.0,102509.0
23,Virginia,Restrictions on internal movement,2020-08-13,2021-04-06,1.0,523983.0
0,Virginia,School closing,2020-03-13,2020-03-15,1.0,10.0
1,Virginia,School closing,2020-03-16,2020-03-29,2.0,841.0
2,Virginia,School closing,2020-03-30,2020-08-25,3.0,113606.0
3,Virginia,School closing,2020-08-26,2021-04-06,2.0,512157.0
18,Virginia,Stay at home requirements,2020-03-30,2020-05-14,2.0,26793.0
19,Virginia,Stay at home requirements,2020-05-15,2020-12-13,1.0,253237.0
20,Virginia,Stay at home requirements,2020-12-14,2021-02-28,2.0,290901.0
21,Virginia,Stay at home requirements,2021-03-01,2021-04-06,1.0,50431.0
36,Virginia,Testing policy,2020-01-21,2020-05-14,1.0,27813.0
37,Virginia,Testing policy,2020-05-15,2020-06-04,2.0,19184.0
38,Virginia,Testing policy,2020-06-05,2021-03-22,3.0,557435.0
39,Virginia,Testing policy,2021-03-23,2021-04-06,2.0,20371.0
48,Virginia,Vaccination policy,2020-12-15,2021-01-07,2.0,94370.0
49,Virginia,Vaccination policy,2021-01-08,2021-04-06,3.0,239688.0
4,Virginia,Workplace closing,2020-03-12,2020-03-23,1.0,242.0
5,Virginia,Workplace closing,2020-03-24,2020-06-30,2.0,62494.0
6,Virginia,Workplace closing,2020-07-01,2021-04-06,1.0,564402.0
