,Country,Right,Start Date,End Date,Derogation Level,Confirmed Cases
14,Washington DC,Cancel public events,2020-03-11,2020-03-24,1.0,141.0
15,Washington DC,Cancel public events,2020-03-25,2021-04-06,2.0,45047.0
18,Washington DC,Close public transport,2020-03-13,2020-03-31,1.0,495.0
19,Washington DC,Close public transport,2020-04-01,2020-06-27,2.0,9630.0
20,Washington DC,Close public transport,2020-06-28,2020-08-22,1.0,3286.0
42,Washington DC,Contact tracing,2020-01-21,2020-08-04,1.0,12398.0
43,Washington DC,Contact tracing,2020-08-05,2020-08-13,2.0,581.0
44,Washington DC,Contact tracing,2020-08-14,2020-08-16,1.0,102.0
45,Washington DC,Contact tracing,2020-08-17,2021-04-06,2.0,31961.0
36,Washington DC,Debt/contract relief,2020-03-17,2021-04-06,2.0,45212.0
46,Washington DC,Facial Coverings,2020-04-04,2020-05-12,1.0,5583.0
47,Washington DC,Facial Coverings,2020-05-13,2020-05-28,3.0,1908.0
48,Washington DC,Facial Coverings,2020-05-29,2020-07-21,1.0,2889.0
49,Washington DC,Facial Coverings,2020-07-22,2021-01-10,3.0,20262.0
50,Washington DC,Facial Coverings,2021-01-20,2021-04-06,3.0,10831.0
37,Washington DC,Fiscal measures,2020-10-27,2020-10-27,3250000.0,0.0
31,Washington DC,Income support,2020-01-27,2020-01-27,1.0,0.0
32,Washington DC,Income support,2020-03-27,2020-07-30,2.0,11786.0
33,Washington DC,Income support,2020-07-31,2020-09-10,1.0,2286.0
34,Washington DC,Income support,2020-12-07,2020-12-07,2.0,0.0
35,Washington DC,Income support,2020-12-27,2021-04-06,1.0,17032.0
29,Washington DC,International travel controls,2020-02-02,2020-03-01,2.0,0.0
30,Washington DC,International travel controls,2020-03-02,2021-04-06,3.0,45234.0
53,Washington DC,Protection of elderly people,2020-03-13,2020-05-28,1.0,8492.0
54,Washington DC,Protection of elderly people,2020-05-29,2021-03-08,2.0,33041.0
55,Washington DC,Protection of elderly people,2021-03-10,2021-04-06,2.0,3228.0
38,Washington DC,Public information campaigns,2020-03-04,2021-04-06,2.0,45234.0
16,Washington DC,Restrictions on gatherings,2020-03-13,2020-03-15,2.0,0.0
17,Washington DC,Restrictions on gatherings,2020-03-16,2021-04-06,3.0,45212.0
23,Washington DC,Restrictions on internal movement,2020-03-16,2020-03-31,1.0,473.0
24,Washington DC,Restrictions on internal movement,2020-04-01,2020-05-28,2.0,7906.0
25,Washington DC,Restrictions on internal movement,2020-05-29,2020-07-26,1.0,3242.0
26,Washington DC,Restrictions on internal movement,2020-07-27,2020-10-16,2.0,4397.0
27,Washington DC,Restrictions on internal movement,2020-10-17,2020-10-18,1.0,36.0
28,Washington DC,Restrictions on internal movement,2020-10-19,2021-04-06,2.0,28839.0
0,Washington DC,School closing,2020-03-13,2020-03-15,1.0,0.0
1,Washington DC,School closing,2020-03-16,2020-05-29,2.0,8516.0
2,Washington DC,School closing,2020-05-30,2020-08-09,3.0,4036.0
3,Washington DC,School closing,2020-08-10,2020-11-17,2.0,6502.0
4,Washington DC,School closing,2020-11-18,2021-01-31,1.0,17407.0
5,Washington DC,School closing,2021-02-01,2021-02-01,2.0,0.0
6,Washington DC,School closing,2021-02-02,2021-02-15,1.0,1993.0
7,Washington DC,School closing,2021-02-16,2021-02-16,2.0,0.0
8,Washington DC,School closing,2021-02-17,2021-04-06,1.0,6054.0
21,Washington DC,Stay at home requirements,2020-04-01,2020-05-28,2.0,7906.0
22,Washington DC,Stay at home requirements,2020-05-29,2021-04-01,1.0,36118.0
39,Washington DC,Testing policy,2020-01-21,2020-04-02,1.0,653.0
40,Washington DC,Testing policy,2020-04-03,2020-11-17,2.0,18552.0
41,Washington DC,Testing policy,2020-11-18,2021-04-06,3.0,25769.0
51,Washington DC,Vaccination policy,2020-12-14,2021-01-18,2.0,8995.0
52,Washington DC,Vaccination policy,2021-01-19,2021-04-06,3.0,10975.0
9,Washington DC,Workplace closing,2020-03-12,2020-03-24,1.0,141.0
10,Washington DC,Workplace closing,2020-03-25,2020-05-28,3.0,8305.0
11,Washington DC,Workplace closing,2020-05-29,2020-12-22,2.0,18362.0
12,Washington DC,Workplace closing,2020-12-23,2021-01-21,3.0,7386.0
13,Washington DC,Workplace closing,2021-01-22,2021-04-06,1.0,10329.0
