,Country,Right,Start Date,End Date,Derogation Level,Confirmed Cases
9,Wyoming,Cancel public events,2020-03-15,2020-03-18,1.0,14.0
10,Wyoming,Cancel public events,2020-03-19,2020-05-26,2.0,832.0
11,Wyoming,Cancel public events,2020-05-27,2020-12-08,1.0,36615.0
12,Wyoming,Cancel public events,2020-12-09,2021-02-14,2.0,15251.0
13,Wyoming,Cancel public events,2021-02-15,2021-04-06,1.0,3483.0
23,Wyoming,Close public transport,2020-04-11,2021-04-06,2.0,56358.0
40,Wyoming,Contact tracing,2020-01-21,2020-07-21,1.0,2238.0
41,Wyoming,Contact tracing,2020-07-22,2021-01-04,2.0,42969.0
42,Wyoming,Contact tracing,2021-01-05,2021-04-06,1.0,11050.0
32,Wyoming,Debt/contract relief,2020-03-26,2020-06-03,1.0,862.0
33,Wyoming,Debt/contract relief,2020-06-04,2020-09-03,2.0,3020.0
34,Wyoming,Debt/contract relief,2020-09-04,2021-04-06,1.0,52629.0
43,Wyoming,Facial Coverings,2020-04-04,2020-04-30,1.0,372.0
44,Wyoming,Facial Coverings,2020-05-01,2021-01-10,2.0,46266.0
45,Wyoming,Facial Coverings,2021-01-20,2021-04-06,2.0,6495.0
28,Wyoming,Income support,2020-01-27,2020-01-27,1.0,0.0
29,Wyoming,Income support,2020-03-27,2020-07-30,2.0,2616.0
30,Wyoming,Income support,2020-07-31,2020-09-10,1.0,1473.0
31,Wyoming,Income support,2020-12-27,2021-04-06,1.0,13419.0
26,Wyoming,International travel controls,2020-02-02,2020-03-01,2.0,0.0
27,Wyoming,International travel controls,2020-03-02,2021-04-04,3.0,56447.0
50,Wyoming,Protection of elderly people,2020-03-13,2020-06-15,3.0,1078.0
51,Wyoming,Protection of elderly people,2020-06-16,2020-09-30,2.0,4859.0
52,Wyoming,Protection of elderly people,2020-10-01,2021-02-06,1.0,46535.0
53,Wyoming,Protection of elderly people,2021-02-07,2021-02-14,2.0,509.0
54,Wyoming,Protection of elderly people,2021-02-15,2021-03-08,1.0,1767.0
55,Wyoming,Protection of elderly people,2021-03-10,2021-04-06,1.0,1605.0
35,Wyoming,Public information campaigns,2020-01-27,2020-03-01,1.0,0.0
36,Wyoming,Public information campaigns,2020-03-02,2021-04-06,2.0,56619.0
14,Wyoming,Restrictions on gatherings,2020-03-17,2020-03-26,3.0,42.0
15,Wyoming,Restrictions on gatherings,2020-03-27,2020-05-14,4.0,631.0
16,Wyoming,Restrictions on gatherings,2020-05-15,2020-06-14,3.0,344.0
17,Wyoming,Restrictions on gatherings,2020-06-15,2020-11-18,2.0,24196.0
18,Wyoming,Restrictions on gatherings,2020-11-19,2020-12-08,3.0,11306.0
19,Wyoming,Restrictions on gatherings,2020-12-09,2021-02-14,4.0,15251.0
20,Wyoming,Restrictions on gatherings,2021-02-15,2021-02-21,3.0,659.0
21,Wyoming,Restrictions on gatherings,2021-02-22,2021-03-15,4.0,1427.0
22,Wyoming,Restrictions on gatherings,2021-03-16,2021-04-06,2.0,1267.0
25,Wyoming,Restrictions on internal movement,2020-03-16,2021-04-06,1.0,56617.0
0,Wyoming,School closing,2020-03-13,2020-03-18,1.0,15.0
1,Wyoming,School closing,2020-03-19,2020-08-23,3.0,3560.0
2,Wyoming,School closing,2020-08-24,2020-09-27,2.0,2030.0
3,Wyoming,School closing,2020-09-28,2020-10-27,1.0,6052.0
4,Wyoming,School closing,2020-10-28,2020-12-29,2.0,31777.0
5,Wyoming,School closing,2020-12-30,2021-04-06,1.0,12486.0
24,Wyoming,Stay at home requirements,2020-03-25,2021-04-01,1.0,56345.0
37,Wyoming,Testing policy,2020-01-21,2020-04-21,1.0,443.0
38,Wyoming,Testing policy,2020-04-22,2020-10-13,2.0,7517.0
39,Wyoming,Testing policy,2020-10-14,2021-04-06,3.0,48442.0
46,Wyoming,Vaccination policy,2020-12-15,2020-12-29,1.0,3859.0
47,Wyoming,Vaccination policy,2020-12-30,2021-01-11,2.0,3262.0
48,Wyoming,Vaccination policy,2021-01-12,2021-04-04,3.0,8375.0
49,Wyoming,Vaccination policy,2021-04-05,2021-04-06,4.0,90.0
6,Wyoming,Workplace closing,2020-03-12,2020-03-15,1.0,1.0
7,Wyoming,Workplace closing,2020-03-16,2020-05-14,2.0,699.0
8,Wyoming,Workplace closing,2020-05-15,2021-04-06,1.0,55903.0
