,Country,Right,Start Date,End Date,Derogation Level,Confirmed Cases
8,Uruguay,Cancel public events,2020-03-13,2020-08-16,2.0,1436.0
9,Uruguay,Cancel public events,2020-08-17,2020-09-15,1.0,370.0
10,Uruguay,Cancel public events,2020-09-16,2021-03-30,2.0,100605.0
14,Uruguay,Close public transport,2020-03-27,2020-07-09,1.0,703.0
15,Uruguay,Close public transport,2020-12-21,2021-03-30,1.0,88984.0
41,Uruguay,Contact tracing,2020-03-15,2021-03-30,1.0,102453.0
34,Uruguay,Debt/contract relief,2020-03-19,2021-03-30,2.0,102367.0
42,Uruguay,Emergency investment in healthcare,2020-12-16,2020-12-16,3000000.0,0.0
44,Uruguay,Facial Coverings,2020-05-28,2021-03-30,2.0,101650.0
35,Uruguay,Fiscal measures,2020-03-19,2020-03-19,520000000.0,0.0
36,Uruguay,Fiscal measures,2021-02-04,2021-02-04,39200000.0,0.0
37,Uruguay,Fiscal measures,2021-02-15,2021-02-15,703358.96,0.0
31,Uruguay,Income support,2020-03-18,2020-07-30,1.0,1164.0
32,Uruguay,Income support,2020-07-31,2021-02-14,2.0,47645.0
33,Uruguay,Income support,2021-02-21,2021-03-30,2.0,49646.0
26,Uruguay,International travel controls,2020-03-13,2020-03-15,2.0,4.0
27,Uruguay,International travel controls,2020-03-16,2020-03-23,3.0,133.0
28,Uruguay,International travel controls,2020-03-24,2020-07-03,4.0,763.0
29,Uruguay,International travel controls,2020-07-04,2020-12-20,3.0,12093.0
30,Uruguay,International travel controls,2020-12-21,2021-03-30,4.0,88984.0
43,Uruguay,Investment in vaccines,2020-10-13,2020-10-13,2500000.0,0.0
46,Uruguay,Protection of elderly people,2020-03-18,2020-04-25,1.0,517.0
47,Uruguay,Protection of elderly people,2020-04-26,2021-03-30,2.0,101855.0
38,Uruguay,Public information campaigns,2020-03-14,2021-03-30,2.0,102455.0
11,Uruguay,Restrictions on gatherings,2020-09-16,2020-12-01,2.0,4168.0
12,Uruguay,Restrictions on gatherings,2020-12-02,2020-12-20,3.0,6823.0
13,Uruguay,Restrictions on gatherings,2020-12-21,2021-03-30,4.0,88984.0
21,Uruguay,Restrictions on internal movement,2020-03-13,2020-03-31,1.0,334.0
22,Uruguay,Restrictions on internal movement,2020-04-01,2020-04-12,2.0,130.0
23,Uruguay,Restrictions on internal movement,2020-04-13,2020-07-09,1.0,494.0
24,Uruguay,Restrictions on internal movement,2020-12-21,2021-01-10,1.0,12709.0
25,Uruguay,Restrictions on internal movement,2021-03-15,2021-03-30,2.0,29599.0
0,Uruguay,School closing,2020-03-14,2020-06-14,3.0,842.0
1,Uruguay,School closing,2020-06-15,2020-07-10,2.0,137.0
2,Uruguay,School closing,2020-07-11,2021-02-20,1.0,51177.0
3,Uruguay,School closing,2021-02-21,2021-03-14,2.0,18876.0
4,Uruguay,School closing,2021-03-15,2021-03-30,3.0,29599.0
16,Uruguay,Stay at home requirements,2020-03-13,2020-04-01,1.0,346.0
17,Uruguay,Stay at home requirements,2020-04-02,2020-04-12,2.0,111.0
18,Uruguay,Stay at home requirements,2020-04-13,2020-07-09,1.0,494.0
19,Uruguay,Stay at home requirements,2020-08-24,2020-08-24,1.0,0.0
20,Uruguay,Stay at home requirements,2020-12-16,2021-03-30,1.0,91568.0
39,Uruguay,Testing policy,2020-03-13,2020-06-24,1.0,898.0
40,Uruguay,Testing policy,2020-06-25,2021-03-30,3.0,101554.0
45,Uruguay,Vaccination policy,2021-03-01,2021-03-30,1.0,43872.0
5,Uruguay,Workplace closing,2020-03-15,2020-12-01,1.0,6016.0
6,Uruguay,Workplace closing,2020-12-02,2021-03-14,2.0,65466.0
7,Uruguay,Workplace closing,2021-03-15,2021-03-30,3.0,29599.0
