,Country,Right,Start Date,End Date,Derogation Level,Confirmed Cases
2,Vanuatu,Cancel public events,2020-03-26,2020-07-10,2.0,0.0
5,Vanuatu,Close public transport,2020-03-26,2020-07-10,1.0,0.0
19,Vanuatu,Contact tracing,2020-03-26,2020-11-10,1.0,1.0
20,Vanuatu,Contact tracing,2020-11-11,2021-03-25,2.0,2.0
21,Vanuatu,Contact tracing,2021-03-29,2021-04-05,1.0,0.0
12,Vanuatu,Debt/contract relief,2020-06-18,2021-01-30,1.0,1.0
22,Vanuatu,Emergency investment in healthcare,2020-03-26,2020-03-26,12500000.0,0.0
13,Vanuatu,Fiscal measures,2020-03-31,2020-03-31,35684000.0,0.0
14,Vanuatu,Fiscal measures,2020-04-08,2020-04-08,3212000.0,0.0
11,Vanuatu,Income support,2020-04-08,2020-07-05,1.0,0.0
10,Vanuatu,International travel controls,2020-03-26,2021-04-05,4.0,3.0
23,Vanuatu,Protection of elderly people,2020-03-26,2020-05-07,1.0,0.0
24,Vanuatu,Protection of elderly people,2020-05-08,2020-07-12,2.0,0.0
25,Vanuatu,Protection of elderly people,2020-07-13,2020-11-30,1.0,1.0
15,Vanuatu,Public information campaigns,2020-03-26,2021-03-25,2.0,3.0
16,Vanuatu,Public information campaigns,2021-03-29,2021-04-05,2.0,0.0
3,Vanuatu,Restrictions on gatherings,2020-03-26,2020-04-04,4.0,0.0
4,Vanuatu,Restrictions on gatherings,2020-04-11,2020-07-10,4.0,0.0
7,Vanuatu,Restrictions on internal movement,2020-03-26,2020-04-10,2.0,0.0
8,Vanuatu,Restrictions on internal movement,2020-04-11,2020-07-10,1.0,0.0
9,Vanuatu,Restrictions on internal movement,2020-11-12,2020-12-29,2.0,0.0
0,Vanuatu,School closing,2020-03-01,2020-05-17,3.0,0.0
6,Vanuatu,Stay at home requirements,2020-03-26,2020-07-10,1.0,0.0
17,Vanuatu,Testing policy,2020-03-26,2021-03-25,1.0,3.0
18,Vanuatu,Testing policy,2021-03-29,2021-04-05,1.0,0.0
1,Vanuatu,Workplace closing,2020-03-26,2020-08-27,2.0,0.0
