,Country,Right,Start Date,End Date,Derogation Level,Confirmed Cases
30,Venezuela,Cancel public events,2020-03-12,2021-04-04,2.0,166123.0
34,Venezuela,Close public transport,2020-06-02,2020-06-14,1.0,1159.0
35,Venezuela,Close public transport,2020-06-22,2020-07-21,2.0,8726.0
36,Venezuela,Close public transport,2020-07-22,2021-04-04,1.0,152959.0
45,Venezuela,Debt/contract relief,2020-03-22,2021-04-04,2.0,166053.0
49,Venezuela,Emergency investment in healthcare,2020-03-22,2020-03-22,1.0,0.0
50,Venezuela,Emergency investment in healthcare,2020-03-26,2020-03-26,1.0,0.0
51,Venezuela,Emergency investment in healthcare,2020-08-04,2020-08-04,10000000.0,0.0
52,Venezuela,Facial Coverings,2020-03-20,2020-10-30,3.0,91547.0
53,Venezuela,Facial Coverings,2020-10-31,2021-04-04,4.0,74110.0
43,Venezuela,International travel controls,2020-03-12,2020-03-17,3.0,33.0
44,Venezuela,International travel controls,2020-03-18,2021-04-04,4.0,166087.0
46,Venezuela,Public information campaigns,2020-02-28,2021-04-04,2.0,166123.0
31,Venezuela,Restrictions on gatherings,2020-03-12,2020-03-16,1.0,17.0
32,Venezuela,Restrictions on gatherings,2020-03-17,2020-05-12,3.0,390.0
33,Venezuela,Restrictions on gatherings,2020-05-13,2021-04-04,4.0,165700.0
40,Venezuela,Restrictions on internal movement,2020-03-13,2020-06-01,2.0,1662.0
41,Venezuela,Restrictions on internal movement,2020-06-02,2020-06-21,1.0,2098.0
42,Venezuela,Restrictions on internal movement,2020-06-22,2021-04-04,2.0,162075.0
0,Venezuela,School closing,2020-03-16,2021-04-04,3.0,166106.0
37,Venezuela,Stay at home requirements,2020-03-13,2020-06-14,2.0,2978.0
38,Venezuela,Stay at home requirements,2020-06-15,2020-06-21,1.0,855.0
39,Venezuela,Stay at home requirements,2020-06-22,2021-04-04,2.0,162075.0
47,Venezuela,Testing policy,2020-02-10,2020-05-07,1.0,381.0
48,Venezuela,Testing policy,2020-05-08,2021-04-04,3.0,165735.0
54,Venezuela,Vaccination policy,2021-02-18,2021-04-04,1.0,31342.0
1,Venezuela,Workplace closing,2020-03-16,2020-06-01,3.0,1645.0
2,Venezuela,Workplace closing,2020-06-02,2020-06-21,2.0,2098.0
3,Venezuela,Workplace closing,2020-06-22,2020-08-22,3.0,34909.0
4,Venezuela,Workplace closing,2020-08-23,2020-09-27,2.0,33127.0
5,Venezuela,Workplace closing,2020-09-28,2020-10-04,3.0,4906.0
6,Venezuela,Workplace closing,2020-10-05,2020-10-11,2.0,4020.0
7,Venezuela,Workplace closing,2020-10-12,2020-10-18,3.0,2880.0
8,Venezuela,Workplace closing,2020-10-19,2020-10-25,2.0,2929.0
9,Venezuela,Workplace closing,2020-10-26,2020-11-01,3.0,2278.0
10,Venezuela,Workplace closing,2020-11-02,2020-11-08,2.0,2178.0
11,Venezuela,Workplace closing,2020-11-09,2020-11-15,3.0,2203.0
12,Venezuela,Workplace closing,2020-11-16,2020-11-22,2.0,2096.0
13,Venezuela,Workplace closing,2020-11-23,2020-11-29,3.0,1897.0
14,Venezuela,Workplace closing,2020-11-30,2020-12-06,2.0,2048.0
15,Venezuela,Workplace closing,2020-12-07,2020-12-13,3.0,2882.0
16,Venezuela,Workplace closing,2020-12-14,2020-12-20,2.0,1950.0
17,Venezuela,Workplace closing,2020-12-21,2020-12-27,3.0,1803.0
18,Venezuela,Workplace closing,2020-12-28,2021-01-03,2.0,1594.0
19,Venezuela,Workplace closing,2021-01-04,2021-01-10,3.0,2203.0
20,Venezuela,Workplace closing,2021-01-11,2021-01-17,2.0,2820.0
21,Venezuela,Workplace closing,2021-01-18,2021-01-24,3.0,3265.0
22,Venezuela,Workplace closing,2021-01-25,2021-01-31,2.0,2815.0
23,Venezuela,Workplace closing,2021-02-01,2021-02-07,3.0,2770.0
24,Venezuela,Workplace closing,2021-02-08,2021-02-14,2.0,2622.0
25,Venezuela,Workplace closing,2021-02-15,2021-02-21,3.0,2491.0
26,Venezuela,Workplace closing,2021-02-22,2021-02-28,2.0,2571.0
27,Venezuela,Workplace closing,2021-03-01,2021-03-07,3.0,2793.0
28,Venezuela,Workplace closing,2021-03-08,2021-03-14,2.0,2605.0
29,Venezuela,Workplace closing,2021-03-15,2021-04-04,3.0,19635.0
